"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jun 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,55551,"MONAHANS, NORTH","NELSON'S FOLLY",,,8814,53,576,550,"   01  ",79,"1,331","1,331","   02  "
,Oil,08,55726,"MONAHANS, NORTH",DORADO,,,,241,0,,,241,0,,
,Oil,08,34235,"MONAHANS, NORTH (CLEARFORK)","HOGG, F. H.",,,8146,210,28,,,238,0,,
,Oil,08,48675,"MONAHANS, NORTH (CLEARFORK)","WALK THE PLANK",,,8672,472,"2,008","1,957","   01  ",523,"7,933","7,933","   02  "
,Oil,08,49056,"MONAHANS, NORTH (CLEARFORK)","MITCHELL, C.",,,,45,0,,,45,0,,
,Oil,08,49301,"MONAHANS, NORTH (CLEARFORK)",MAROONER,,,8107,448,"4,780","4,708","   01  ",520,"12,281","12,281","   02  "
,Oil,08,49353,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE",,,8146,403,"2,351","2,180","   01  ",574,"9,266","9,266","   02  "
,Oil,08,49490,"MONAHANS, NORTH (CLEARFORK)","SEALY SMITH FOUNDATION -A-",,,8814,"2,232","11,843","11,528","   01  ","2,547","67,359","67,359","   02  "
,Oil,08,49561,"MONAHANS, NORTH (CLEARFORK)",HORNSWOGGLE,,,,347,"6,289","6,120","   01  ",516,"15,292","15,292","   02  "
Y,Oil,08,50028,"MONAHANS, NORTH (CLEARFORK)","SEALY-SMITH FOUNDATION ""B""",,,,732,"9,402","9,270","   01  ",864,"49,085","49,085","   02  "
,Oil,08,50090,"MONAHANS, NORTH (CLEARFORK)","PEG LEG",,,,0,0,,,0,0,,
,Oil,08,50130,"MONAHANS, NORTH (CLEARFORK)",COMMANDEER,,,8107,172,"2,370","2,327","   01  ",215,"13,827","13,827","   02  "
,Oil,08,50423,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE N",,,8146,325,"1,880","1,746","   01  ",459,"7,004","7,004","   02  "
,Oil,08,51085,"MONAHANS, NORTH (CLEARFORK)","GILDED LADY",,,,0,0,,,0,0,,
,Oil,08,51202,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN MORGAN",,,8107,149,"2,425","2,385","   01  ",189,"7,991","7,991","   02  "
,Oil,08,52357,"MONAHANS, NORTH (CLEARFORK)","SPANISH MAIN W",,,8814,364,"1,852","1,842","   01  ",374,"7,800","7,800","   02  "
,Oil,08,52884,"MONAHANS, NORTH (CLEARFORK)",PRIVATEER,,,8844,101,"1,967","1,964","   01  ",104,"3,584","3,584","   02  "
,Oil,08,52891,"MONAHANS, NORTH (CLEARFORK)","DRAKE'S DRUM",,,8844,77,"1,273","1,283","   01  ",67,"5,859","5,859","   02  "
,Oil,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,T,,684,"2,060","2,144","   01  ",600,"4,174","4,174","   02  "
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,8672,130,499,499,"   01  ",130,,,
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,9999,554,"1,561","1,645","   01  ",470,,,
,Oil,08,53084,"MONAHANS, NORTH (CLEARFORK)",DINGHY,,,8844,112,"1,878","1,891","   01  ",99,"12,580","12,580","   02  "
,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9602,40,482,501,"   01  ",21,601,601,"   02  "
Y,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,225,"3,851","3,873","   01  ",203,"17,657","17,657","   02  "
Y,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9602,225,"2,562","2,677","   01  ",110,"5,856","5,856","   02  "
,,,,,,,,,"OOB wrong CP #",,,,,,,
Y,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9546,115,"1,146","1,212","   01  ",49,"2,360","2,360","   02  "
,Oil,08,56065,"MONAHANS, NORTH (CLEARFORK)",FLINTLOCK,,,9602,229,"4,034","4,090","   01  ",173,"5,852","5,852","   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,25,707,668,"   00  ",64,"4,196","4,196","   02  "
Y,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,35,488,473,"   00  ",50,"5,190","5,190","   02  "
,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,197,"4,680","4,441","   00  ",436,"22,770","22,770","   02  "
,Oil,08,24053,"RUNNING W (WADDELL)","WADDELL, W. N. ET AL TR. E",,,,0,0,,,0,0,,
