"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jul 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9602,21,203,214,"   01  ",10,839,839,"   02  "
Y,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,203,"3,539","3,487","   01  ",255,"15,633","15,633","   02  "
Y,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9602,110,"1,890","1,903","   01  ",97,"6,804","6,804","   02  "
,,,,,,,,,"OOB wrong CP #",,,,,,,
Y,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9546,49,"1,383","1,361","   01  ",71,"3,624","3,624","   02  "
,Oil,08,56065,"MONAHANS, NORTH (CLEARFORK)",FLINTLOCK,,,9602,173,"4,248","4,204","   01  ",217,"8,718","8,718","   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,64,493,503,"   00  ",54,"3,493","3,493","   02  "
Y,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,50,651,648,"   00  ",53,"3,565","3,565","   02  "
,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,436,"4,151","4,244","   00  ",343,"20,044","20,044","   02  "
,Oil,08,24053,"RUNNING W (WADDELL)","WADDELL, W. N. ET AL TR. E",,,,0,0,,,0,0,,
,Gas,08,183068,"RUNNING W (WADDELL)","WADDELL TR A","  380  ",,,0,0,,,0,0,,
,Oil,08,36037,"RUNNING W (WICHITA-ALBANY)","MCKNIGHT, M. B. C",,,6933,8,180,173,"   00  ",15,659,659,"   02  "
,Oil,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,T,,21,84,90,"   01  ",15,102,102,"   02  "
,,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,,3501,18,31,36,"   01  ",13,,,
,,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,,7764,3,53,54,"   01  ",2,,,
,Oil,08,55909,"RUNNING W (WICHITA-ALBANY)",LANDLUBBER,,,8026,31,239,257,"   00  ",13,"3,206","3,206","   02  "
,Gas,08,084126,"RUNNING W (WICHITA-ALBANY)","WADDELL TR A"," 1085  ",,4030,0,0,,,0,0,,
,Gas,08,203707,"RUNNING W (WICHITA-ALBANY)","CROLEY ESTATE","    1 T",,5393,0,0,,,0,0,,
,Gas,08,261520,"RUNNING W (WICHITA-ALBANY)","M.B. MCKNIGHT","   10  ",,6933,9,110,110,"   00  ",9,"5,508","5,508","   02  "
,Oil,08,27161,"RUNNING W, N. (HOLT)","MCKNIGHT, M. B. -C-",,,6933,0,0,,,0,0,,
,Oil,08,30866,"RUNNING W, N. (HOLT)","MCKNIGHT, M.B.",,,6933,4,84,81,"   00  ",7,162,162,"   02  "
,Oil,08,45532,"SAND HILLS (CLEAR FORK)","WADDELL TR A",,T,,168,"3,960","3,938","   00  ",190,"11,585","11,585","   02  "
,,08,45532,"SAND HILLS (CLEAR FORK)","WADDELL TR A",,,2572,12,45,46,"   00  ",11,,,
,,08,45532,"SAND HILLS (CLEAR FORK)","WADDELL TR A",,,3806,156,"3,915","3,892","   00  ",179,,,
,Oil,08,48999,"SAND HILLS (CLEAR FORK)",LANDLUBBER,,,8026,973,"7,347","7,658","   00  ",662,"29,419","29,419","   02  "
,Oil,08,52608,"SAND HILLS (CLEAR FORK)","JEAN LAFITTE SE",,,8155,35,0,,,35,0,,
,Oil,08,52912,"SAND HILLS (CLEAR FORK)","6 POUNDER NE",,,8026,172,783,715,"   00  ",240,"2,452","2,452","   02  "
,Oil,08,53039,"SAND HILLS (CLEAR FORK)","BARATARIA BAY S",,,,81,0,,,81,0,,
,Oil,08,53110,"SAND HILLS (CLEAR FORK)","CLEW BAY S",,,8155,1,0,,,1,0,,
,Oil,08,53207,"SAND HILLS (CLEAR FORK)","LANDLUBBER N",,,8156,369,"2,763","2,912","   00  ",220,"5,330","5,330","   02  "
,Oil,08,53438,"SAND HILLS (CLEAR FORK)","YELLOW JACK E2SW",,,8539,81,840,837,"   00  ",84,"2,336","2,336","   02  "
,Oil,08,53674,"SAND HILLS (CLEAR FORK)","6 POUNDER NW",,,8250,527,"5,942","6,088","   00  ",381,"104,290","104,290","   02  "
,Oil,08,54280,"SAND HILLS (CLEAR FORK)","LANDLUBBER NE",,,8156,167,933,"1,026","   00  ",74,"1,481","1,481","   02  "
,Oil,08,54498,"SAND HILLS (CLEAR FORK)","6 POUNDER SW",,,8250,29,554,568,"   00  ",15,"4,715","4,715","   02  "
,Oil,08,54792,"SAND HILLS (CLEAR FORK)","LANDLUBBER CW",,,8026,235,"1,365","1,525","   00  ",75,"1,522","1,522","   02  "
,Oil,08,54949,"SAND HILLS (CLEAR FORK)","6 POUNDER NESW",,,8250,164,"3,524","3,592","   00  ",96,"12,791","12,791","   02  "
,Oil,08,55115,"SAND HILLS (CLEAR FORK)","STEDE BONNET",,,9194,149,"2,007","2,051","   00  ",105,"6,281","6,281","   02  "
,Oil,08,55289,"SAND HILLS (CLEAR FORK)","6 POUNDER NWNE",,,8250,121,"1,378","1,411","   00  ",88,"11,310","11,310","   02  "
,Oil,08,55290,"SAND HILLS (CLEAR FORK)","YELLOW JACK SWSW",,,8539,78,811,808,"   00  ",81,"3,083","3,083","   02  "
,Oil,08,55471,"SAND HILLS (CLEAR FORK)","6 POUNDER NWSW",,,8250,143,"3,067","3,127","   00  ",83,"64,230","64,230","   02  "
,Oil,08,55686,"SAND HILLS (CLEAR FORK)","WADDELL TR D",,,4030,12,543,537,"   00  ",18,589,589,"   02  "
,Oil,08,56262,"SAND HILLS (CLEAR FORK)","6 POUNDER SE",,,8250,77,490,536,"   00  ",31,"8,189","8,189","   02  "
,Oil,08,56320,"SAND HILLS (CLEAR FORK)","6 POUNDER SWNW",,,8250,316,"6,475","6,615","   00  ",176,"23,669","23,669","   02  "
,Gas,08,276542,"SAND HILLS (CLEAR FORK 4070)","WADDELL TR A"," 1521  ",,4590,0,0,,,0,0,,
