"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jan 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,52891,"MONAHANS, NORTH (CLEARFORK)","DRAKE'S DRUM",,,8844,152,"1,987","2,014","   01  ",125,"8,886","8,886","   02  "
Y,Oil,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,T,,788,"3,455","3,619","   01  ",624,"7,773","7,773","   02  "
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,8672,154,674,665,"   01  ",163,0,,
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,9999,634,"2,781","2,954","   01  ",461,0,,
,Oil,08,53084,"MONAHANS, NORTH (CLEARFORK)",DINGHY,,,8844,174,"3,275","3,242","   01  ",207,"17,814","17,814","   02  "
Y,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9546,N/A,472,444,"   01  ",28,878,878,"   02  "
Y,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,414,"11,141","10,852","   01  ",703,"31,009","31,009","   02  "
,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9546,N/A,0,,,0,0,,
Y,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9546,114,"1,888","1,883","   01  ",119,"3,050","3,050","   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,62,152,27,"   00  ",90,"8,929","8,929","   02  "
,,,,,,,,,,,97,"   01  ",,,,
,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,0,0,,,0,960,960,"   02  "
,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,209,943,221,"   00  ",143,"30,723","30,723","   02  "
,,,,,,,,,,,788,"   01  ",,,,
