"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Aug 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,53,398,422,"   00  ",29,"3,680","3,680","   02  "
,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,343,"3,218","3,383","   00  ",178,"6,785","6,785","   02  "
,Oil,08,24053,"RUNNING W (WADDELL)","WADDELL, W. N. ET AL TR. E",,,,0,0,,,0,0,,
,Gas,08,183068,"RUNNING W (WADDELL)","WADDELL TR A","  380  ",,,0,0,,,0,0,,
,Oil,08,36037,"RUNNING W (WICHITA-ALBANY)","MCKNIGHT, M. B. C",,,6933,15,214,217,"   00  ",12,565,565,"   02  "
,Oil,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,T,,15,82,74,"   01  ",23,314,314,"   02  "
,,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,,3501,13,26,20,"   01  ",19,,,
,,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,,7764,2,56,54,"   01  ",4,,,
,Oil,08,55909,"RUNNING W (WICHITA-ALBANY)",LANDLUBBER,,,8026,13,190,189,"   00  ",14,"4,436","4,436","   02  "
,Gas,08,084126,"RUNNING W (WICHITA-ALBANY)","WADDELL TR A"," 1085  ",,4030,0,0,,,0,0,,
,Gas,08,203707,"RUNNING W (WICHITA-ALBANY)","CROLEY ESTATE","    1 T",,5393,0,0,,,0,0,,
